VSI_TrqFeedback_FR,wheel_speed_FR
-0.25872,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.25872,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.25872,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.38808,0.0
-0.25872,0.0
-0.12936,0.0
0.0,0.0
-0.25872,0.0
-0.38808,0.0
-0.25872,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.25872,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.25872,0.0
0.0,0.0
-0.25872,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.25872,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.25872,0.0
0.0,0.0
-0.25872,0.0
0.0,0.0
0.0,0.0
-0.25872,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.25872,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.38808,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.25872,0.0
0.0,0.0
-0.25872,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.25872,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.25872,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.25872,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.25872,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
-0.25872,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.25872,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.25872,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.25872,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.25872,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
-0.12936,0.0
-0.25872,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
-0.12936,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
